q,A,B,C,D,ans,sub
संसार का सबसे बड़ा पुष्प कौन सा है?,कमल,रैफ्लेशिया (Rafflesia),गुलाब,सूरजमुखी,B,Science GK
संसार का सबसे छोटा पुष्प कौन सा है?,वोल्फिया (Wolffia),कमल,चमेली,गुलाब,A,Science GK
फलों को कृत्रिम रूप से पकाने के लिए किस गैस का उपयोग किया जाता है?,मीथेन,इथिलीन (Ethylene),प्रोपेन,ब्यूटेन,B,Science GK
पत्तियों का हरा रंग किसके कारण होता है?,कैरोटीन,क्लोरोफिल (Chlorophyll),जैंथोफिल,हीमोग्लोबिन,B,Science GK
पेड़-पौधों द्वारा खाना तैयार करने की प्रक्रिया क्या कहलाती है?,श्वसन,प्रकाश संश्लेषण (Photosynthesis),वाष्पोत्सर्जन,परासरण,B,Science GK
सबसे बड़ा जीवित पक्षी कौन सा है?,मोर,शुतुरमुर्ग (Ostrich),पेंग्विन,बाज,B,Science GK
सबसे छोटा पक्षी कौन सा है?,गौरैया,कबूतर,हार्मिंग बर्ड (Hummingbird),तोता,C,Science GK
मछलियाँ किसके द्वारा श्वसन (सांस) लेती हैं?,फेफड़ों से,त्वचा से,गिल्स (Gills) से,मुँह से,C,Science GK
केंचुए (Earthworm) में कितनी आँखें होती हैं?,एक,दो,चार,कोई नेत्र नहीं होता,D,Science GK
डेंगू बुखार किस मच्छर के काटने से फैलता है?,मादा एनाफिलीज,एडीज इजिप्टी (Aedes),क्यूलेक्स,इनमें से कोई नहीं,B,Science GK
हाइड्रोफोबिया (Hydrophobia - पानी से डर) रोग किससे उत्पन्न होता है?,जीवाणु,कवक,विषाणु (रेबीज वायरस),प्रोटोजोआ,C,Science GK
मनुष्य की खोपड़ी (Skull) में कितनी हड्डियाँ होती हैं?,22,28,29,32,C,Science GK
रक्त (Blood) किस प्रकार का ऊतक (Tissue) है?,पेशी ऊतक,तंत्रिका ऊतक,तरल संयोजी ऊतक (Liquid Connective Tissue),एपिथीलियल ऊतक,C,Science GK
मानव शरीर की सबसे छोटी ग्रंथि कौन सी है?,थायराइड,पिट्यूटरी (Pituitary),यकृत,अग्न्याशय,B,Science GK
