q,A,B,C,D,ans,sub
भारत का कुल क्षेत्रफल कितना है?,"32,87,263 वर्ग किमी","31,87,263 वर्ग किमी","32,67,263 वर्ग किमी","33,87,263 वर्ग किमी",A,Geography
क्षेत्रफल की दृष्टि से भारत का विश्व में कौन सा स्थान है?,पांचवां,छठा,सातवां,आठवां,C,Geography
भारत की उत्तर से दक्षिण तक की लंबाई कितनी है?,2933 किमी,3214 किमी,3124 किमी,3412 किमी,B,Geography
भारत की पूर्व से पश्चिम तक की चौड़ाई कितनी है?,2933 किमी,3214 किमी,3124 किमी,3412 किमी,A,Geography
भारत की तट रेखा की कुल लंबाई कितनी है (द्वीपों सहित)?,6100 किमी,7516.6 किमी,7200 किमी,8000 किमी,B,Geography
भारत का सबसे दक्षिणी बिंदु कौन सा है?,कन्याकुमारी,इंदिरा कॉल,इंदिरा पॉइंट,किबिथू,C,Geography
भारत का सबसे उत्तरी बिंदु कौन सा है?,इंदिरा कॉल,गुहार मोती,किबिथू,कन्याकुमारी,A,Geography
कर्क रेखा भारत के कितने राज्यों से होकर गुजरती है?,6,7,8,9,C,Geography
भारत का मानक समय (IST) ग्रीनविच समय (GMT) से कितना आगे है?,4 घंटे 30 मिनट,5 घंटे,5 घंटे 30 मिनट,6 घंटे,C,Geography
भारत की सबसे लंबी अंतर्राष्ट्रीय सीमा किस देश के साथ है?,चीन,पाकिस्तान,नेपाल,बांग्लादेश,D,Geography
भारत की सबसे छोटी अंतर्राष्ट्रीय सीमा किस देश के साथ है?,भूटान,अफगानिस्तान,नेपाल,म्यांमार,B,Geography
मैकमोहन रेखा किन दो देशों के बीच है?,भारत-पाकिस्तान,भारत-चीन,भारत-नेपाल,भारत-बांग्लादेश,B,Geography
रेडक्लिफ रेखा किन दो देशों के बीच है?,भारत-चीन,भारत-बांग्लादेश,भारत-पाकिस्तान,पाकिस्तान-अफगानिस्तान,C,Geography
डूरंड रेखा किन दो देशों के बीच है?,भारत-चीन,भारत-पाकिस्तान,पाकिस्तान-अफगानिस्तान,भारत-म्यांमार,C,Geography
लक्षद्वीप समूह कहाँ स्थित है?,बंगाल की खाड़ी,अरब सागर,हिंद महासागर,मन्नार की खाड़ी,B,Geography
अंडमान-निकोबार द्वीप समूह कहाँ स्थित है?,अरब सागर,बंगाल की खाड़ी,हिंद महासागर,खंभात की खाड़ी,B,Geography
10 डिग्री चैनल किसे अलग करता है?,भारत और श्रीलंका,लक्षद्वीप और मालदीव,अंडमान और निकोबार,दमन और दीव,C,Geography
भारत का एकमात्र सक्रिय ज्वालामुखी कौन सा है?,नारकोंडम,बैरन द्वीप,माजुली,मिनिकॉय,B,Geography
हिमालय किस प्रकार का पर्वत है?,अवशिष्ट पर्वत,भ्रंशोत्थ पर्वत,वलित पर्वत (Fold Mountain),ज्वालामुखी पर्वत,C,Geography
भारत की सबसे पुरानी पर्वत श्रृंखला कौन सी है?,हिमालय,अरावली,विंध्याचल,सतपुड़ा,B,Geography
अरावली पर्वत की सबसे ऊँची चोटी कौन सी है?,गुरुशिखर,धूपगढ़,दोदाबेट्टा,अनाईमुडी,A,Geography
दक्षिण भारत की सबसे ऊँची चोटी कौन सी है?,दोदाबेट्टा,अनाईमुडी,महेंद्रगिरि,कलसूबाई,B,Geography
नीलगिरि पहाड़ियों की सबसे ऊँची चोटी कौन सी है?,अनाईमुडी,धूपगढ़,दोदाबेट्टा,गुरुशिखर,C,Geography
सतपुड़ा पर्वत की सबसे ऊँची चोटी कौन सी है?,गुरुशिखर,कलसूबाई,धूपगढ़,पारसनाथ,C,Geography
गंगा नदी का उद्गम स्थल कहाँ है?,यमुनोत्री,गंगोत्री,मानसरोवर,अमरकंटक,B,Geography
भारत की सबसे लंबी नदी कौन सी है?,गोदावरी,ब्रह्मपुत्र,गंगा,यमुना,C,Geography
दक्षिण भारत की गंगा किसे कहा जाता है?,कावेरी,गोदावरी,कृष्णा,नर्मदा,A,Geography
वृद्ध गंगा (बूढ़ी गंगा) किसे कहा जाता है?,कावेरी,कृष्णा,महानदी,गोदावरी,D,Geography
कौन सी नदी डेल्टा नहीं बनाती है?,गंगा,गोदावरी,महानदी,नर्मदा,D,Geography
नर्मदा नदी का उद्गम स्थल कहाँ है?,अमरकंटक,त्र्यंबकेश्वर,महाबलेश्वर,ब्रह्मगिरि,A,Geography
माजुली द्वीप (विश्व का सबसे बड़ा नदी द्वीप) किस नदी पर है?,गंगा,ब्रह्मपुत्र,गोदावरी,सिंधु,B,Geography
भाखड़ा नांगल बांध किस नदी पर स्थित है?,रावी,ब्यास,सतलुज,चिनाब,C,Geography
हीराकुंड बांध किस नदी पर स्थित है?,गोदावरी,महानदी,कृष्णा,कावेरी,B,Geography
टिहरी बांध किस नदी पर स्थित है?,भागीरथी,अलकनंदा,गंगा,यमुना,A,Geography
सरदार सरोवर बांध किस नदी पर है?,ताप्ती,नर्मदा,माही,साबरमती,B,Geography
भारत की सबसे बड़ी मीठे पानी की झील कौन सी है?,चिल्का,वुलर,लोकटक,सांभर,B,Geography
भारत की सबसे बड़ी खारे पानी की झील कौन सी है?,वुलर,चिल्का,सांभर,पुलीकट,B,Geography
लोकटक झील किस राज्य में है?,सिक्किम,मणिपुर,मेघालय,असम,B,Geography
लोनार झील किस राज्य में है?,राजस्थान,गुजरात,महाराष्ट्र,ओडिशा,C,Geography
सांभर झील किस राज्य में है?,गुजरात,मध्य प्रदेश,राजस्थान,हरियाणा,C,Geography
भारत में सर्वाधिक वर्षा कहाँ होती है?,चेरापूंजी,मासिनराम,शिलांग,महाबलेश्वर,B,Geography
भारत की जलवायु कैसी है?,उष्णकटिबंधीय मानसूनी,भूमध्यसागरीय,सवाना,टुंड्रा,A,Geography
