q,A,B,C,D,ans,sub
Indian Constitution ka 'Soul' kise kaha jata hai?,Fundamental Rights,Preamble,Duties,Directives,B,Polity
Article 324 kisse related hai?,UPSC,Election Commission,Finance,Emergency,B,Polity
Panchayati Raj sabse pehle kis state me shuru hua?,Punjab,Rajasthan,UP,Bihar,B,Polity
Lok Sabha ka tenure kitne saal ka hota hai?,4,5,6,Indefinite,B,Polity
President ko oath kaun dilata hai?,PM,CJI,Speaker,Vice President,B,Polity
Right to Education kis Article me hai?,21,21A,22,19,B,Polity
GST Council ka Chairman kaun hota hai?,PM,Finance Minister,RBI Governor,President,B,Polity
Fundamental Duties kis desh se li gayi hain?,USA,USSR,UK,Canada,B,Polity
Supreme Court ke judges ki retirement age kya hai?,60,62,65,70,C,Polity
NITI Aayog ka head kaun hota hai?,Finance Minister,Home Minister,PM,President,C,Polity
UP me Vidhan Sabha ki kitni seats hain?,400,403,405,543,B,Polity
Gram Panchayat ka election kaun karwata hai?,ECI,State EC,Collector,DM,B,Polity
EVM ka full form kya hai?,Electronic Vote machine,Electronic Voting Machine,Electric Vote Machine,None,B,Polity
Zero Hour ka time kya hota hai?,10-11 AM,12-1 PM,2-3 PM,None,B,Polity
Finance Commission kisme hai?,Art 280,Art 300,Art 312,Art 250,A,Polity
UPSC ke members ko kaun appoint karta hai?,PM,President,CJI,Speaker,B,Polity
State Emergency kis Article me hai?,352,356,360,368,B,Polity
Bicameral legislature kis state me nahi hai?,UP,Bihar,MP,Maharashtra,C,Polity
Joint Session kaun bulata hai?,Speaker,PM,President,CJI,C,Polity
Anti-Defection Law kis Schedule me hai?,9,10,11,12,B,Polity
Mitochondria ko kya kehte hain?,Kitchen,Power House,Brain,Garbage,B,Zoology
Human heart me kitne chambers hote hain?,2,3,4,1,C,Zoology
Blood ka pH value kya hota hai?,6.4,7.4,8.4,5.4,B,Zoology
Inme se kaun sa flightless bird hai?,Eagle,Ostrich,Crow,Parrot,B,Zoology
RBC ka life span kitna hota hai?,100 days,120 days,150 days,80 days,B,Zoology
Scurvy kis vitamin ki kami se hota hai?,Vit A,Vit B,Vit C,Vit D,C,Zoology
Human body ki sabse badi gland kaun si hai?,Thyroid,Liver,Pancreas,Pituitary,B,Zoology
Master gland kise kehte hain?,Liver,Pituitary,Adrenal,Thyroid,B,Zoology
DNA ka double helix model kisne diya?,Mendel,Watson & Crick,Darwin,Lamarck,B,Zoology
Insulin kahan se produce hota hai?,Liver,Pancreas,Stomach,Kidney,B,Zoology
Kidney ki functional unit kya hai?,Neuron,Nephron,Cell,Tissue,B,Zoology
Kangaroo kis desh ka symbol hai?,India,Australia,USA,UK,B,Zoology
Whale kya hai?,Fish,Reptile,Mammal,Amphibian,C,Zoology
Amoeba me locomotion kaise hota hai?,Cilia,Flagella,Pseudopodia,Tentacles,C,Zoology
Human body me kitni bones hoti hain?,204,206,208,210,B,Zoology
Universal Donor blood group kaun sa hai?,A,B,AB,O,D,Zoology
Malaria kisse hota hai?,Bacteria,Virus,Protozoa,Fungi,C,Zoology
Penicillin kisne discover kiya?,Newton,Alexander Fleming,Einstein,Pasteur,B,Zoology
Xylem kiske transport ke liye hai?,Food,Water,Air,Minerals,B,Zoology
Mendel ne kis plant par experiment kiya?,Rose,Pea,Rice,Wheat,B,Zoology
Mount Everest kis country me hai?,India,Nepal,China,Bhutan,B,Geography
Sabse bada Ocean kaun sa hai?,Indian,Atlantic,Pacific,Arctic,C,Geography
Duniya ki sabse lambi nadi?,Ganga,Nile,Amazon,Mississipi,B,Geography
