q,A,B,C,D,ans,sub
हड़प्पा सभ्यता की खोज किसने की थी?,राखालदास बनर्जी,दयाराम साहनी,जॉन मार्शल,कनिंघम,B,History
सिंधु घाटी सभ्यता का प्रमुख बंदरगाह कौन सा था?,कालीबंगा,लोथल,मोहनजोदड़ो,हड़प्पा,B,History
'नर्तकी की कांस्य मूर्ति' कहाँ से प्राप्त हुई है?,हड़प्पा,लोथल,कालीबंगा,मोहनजोदड़ो,D,History
सिंधु घाटी सभ्यता के लोग किसकी पूजा करते थे?,विष्णु,ब्रह्मा,पशुपति (शिव),इंद्र,C,History
सबसे प्राचीन वेद कौन सा है?,ऋग्वेद,यजुर्वेद,सामवेद,अथर्ववेद,A,History
गायत्री मंत्र किस वेद से लिया गया है?,यजुर्वेद,अथर्ववेद,ऋग्वेद,सामवेद,C,History
सत्यमेव जयते कहाँ से लिया गया है?,ऋग्वेद,मुंडकोपनिषद,भगवद गीता,रामायण,B,History
महाभारत का पुराना नाम क्या था?,रामायण,जयसंहिता,गोत्र,कथासरित्सागर,B,History
गौतम बुद्ध का जन्म कहाँ हुआ था?,सारनाथ,लुम्बिनी,कुशीनगर,बोधगया,B,History
बुद्ध ने अपना पहला उपदेश कहाँ दिया था?,बोधगया,लुम्बिनी,कुशीनगर,सारनाथ,D,History
जैन धर्म के प्रथम तीर्थंकर कौन थे?,पार्श्वनाथ,महावीर स्वामी,ऋषभदेव,अरिष्टनेमि,C,History
महावीर स्वामी का जन्म कहाँ हुआ था?,कुण्डग्राम,पाटलिपुत्र,मगध,वैशाली,A,History
नंद वंश का अंतिम शासक कौन था?,महापद्मनंद,धनानंद,चंद्रगुप्त,कालाशोक,B,History
मौर्य वंश की स्थापना किसने की थी?,बिंदुसार,अशोक,चंद्रगुप्त मौर्य,बिम्बिसार,C,History
कौटिल्य (चाणक्य) किसका प्रधानमंत्री था?,अशोक,चंद्रगुप्त विक्रमादित्य,चंद्रगुप्त मौर्य,राजा जनक,C,History
मेगस्थनीज किसके दरबार में भारत आया था?,अशोक,हर्षवर्धन,चंद्रगुप्त मौर्य,बिंदुसार,C,History
इंडिका नामक पुस्तक किसने लिखी है?,चाणक्य,फाह्यान,मेगस्थनीज,ह्वेनसांग,C,History
कलिंग युद्ध किस वर्ष हुआ था?,261 ईसा पूर्व,269 ईसा पूर्व,298 ईसा पूर्व,326 ईसा पूर्व,A,History
सांची का स्तूप किसने बनवाया था?,चंद्रगुप्त,अशोक,हर्षवर्धन,कनिष्क,B,History
शक संवत किसने शुरू किया था?,कनिष्क,अशोक,चंद्रगुप्त विक्रमादित्य,हर्षवर्धन,A,History
भारत का नेपोलियन किसे कहा जाता है?,चंद्रगुप्त प्रथम,समुद्रगुप्त,अशोक,अकबर,B,History
नालंदा विश्वविद्यालय की स्थापना किसने की थी?,कुमारगुप्त,समुद्रगुप्त,स्कंदगुप्त,हर्षवर्धन,A,History
फाह्यान किसके शासनकाल में भारत आया था?,चंद्रगुप्त मौर्य,हर्षवर्धन,चंद्रगुप्त द्वितीय (विक्रमादित्य),समुद्रगुप्त,C,History
बाणभट्ट किसके दरबारी कवि थे?,समुद्रगुप्त,चंद्रगुप्त,हर्षवर्धन,कनिष्क,C,History
एलोरा के कैलाश मंदिर का निर्माण किसने करवाया था?,चोलों ने,पल्लवों ने,राष्ट्रकूटों ने,चालुक्यों ने,C,History
खजुराहो के मंदिर किस वंश के शासकों ने बनवाए थे?,चोल,चंदेल,पल्लव,राष्ट्रकूट,B,History
सोमनाथ मंदिर को किस मुस्लिम आक्रमणकारी ने लूटा था?,मुहम्मद गौरी,महमूद गजनवी,बाबर,तैमूर लंग,B,History
तराइन का प्रथम युद्ध (1191) किसके बीच हुआ था?,पृथ्वीराज चौहान और मुहम्मद गौरी,बाबर और इब्राहिम लोदी,अकबर और हेमू,पृथ्वीराज चौहान और महमूद गजनवी,A,History
गुलाम वंश का संस्थापक कौन था?,कुतुबुद्दीन ऐबक,इल्तुतमिश,बलबन,रज़िया सुल्तान,A,History
भारत की प्रथम महिला शासिका कौन थी?,चांद बीबी,नूरजहां,रज़िया सुल्तान,मुमताज़ महल,C,History
कुतुबमीनार का निर्माण किसने पूरा करवाया था?,कुतुबुद्दीन ऐबक,इल्तुतमिश,फिरोज़ शाह तुगलक,सिकंदर लोदी,B,History
बाज़ार नियंत्रण प्रणाली किसने लागू की थी?,इल्तुतमिश,बल्बन,अलाउद्दीन खिलजी,मुहम्मद बिन तुगलक,C,History
इब्न बतूता किस देश से भारत आया था?,ईरान,इराक,मोरक्को,तुर्की,C,History
विजयनगर साम्राज्य की स्थापना किसने की थी?,हरिहर और बुक्का,कृष्णदेव राय,राम राय,सदाशिव राय,A,History
अष्टदिग्गज किसके दरबार में थे?,शिवाजी,कृष्णदेव राय,अकबर,शाहजहां,B,History
लोदी वंश का अंतिम शासक कौन था?,बहलोल लोदी,सिकंदर लोदी,इब्राहिम लोदी,दौलत खान लोदी,C,History
पानीपत का प्रथम युद्ध कब हुआ था?,1526,1556,1761,1191,A,History
मुगल वंश का संस्थापक कौन था?,अकबर,हुमायूँ,बाबर,शाहजहां,C,History
खानवा का युद्ध (1527) किसके बीच हुआ था?,बाबर और इब्राहिम लोदी,बाबर और राणा सांगा,अकबर और हेमू,हुमायूँ और शेरशाह,B,History
शेरशाह सूरी का मकबरा कहाँ स्थित है?,आगरा,दिल्ली,सासाराम,लाहौर,C,History
दीन-ए-इलाही धर्म किसने चलाया था?,बाबर,हुमायूँ,अकबर,जहांगीर,C,History
अकबरनामा किसने लिखी है?,अबुल फज़ल,फैज़ी,बीरबल,अकबर,A,History
हल्दीघाटी का युद्ध (1576) किसके बीच हुआ था?,अकबर और महाराणा प्रताप,बाबर और राणा सांगा,अकबर और हेमू,हुमायूँ और शेरशाह,A,History
