q,A,B,C,D,ans,sub
भारतीय संविधान का जनक किसे कहा जाता है?,महात्मा गांधी,जवाहरलाल नेहरू,डॉ. बी.आर. अंबेडकर,सरदार पटेल,C,Polity
भारतीय संविधान को बनने में कितना समय लगा था?,2 वर्ष 11 माह 18 दिन,3 वर्ष 1 माह,2 वर्ष 5 माह,1 वर्ष 10 माह,A,Polity
संविधान सभा की पहली बैठक कब हुई थी?,1945,9 दिसंबर 1946,1947,1950,B,Polity
मूल अधिकारों (Fundamental Rights) का वर्णन किस भाग में है?,भाग 2,भाग 3,भाग 4,भाग 5,B,Polity
राष्ट्रपति को शपथ कौन दिलाता है?,प्रधानमंत्री,उपराष्ट्रपति,मुख्य न्यायाधीश (CJI),लोकसभा अध्यक्ष,C,Polity
लोकसभा का सदस्य बनने के लिए न्यूनतम आयु क्या है?,21 वर्ष,25 वर्ष,30 वर्ष,35 वर्ष,B,Polity
नीति आयोग (NITI Aayog) का अध्यक्ष कौन होता है?,वित्त मंत्री,गृह मंत्री,राष्ट्रपति,प्रधानमंत्री,D,Polity
संविधान में संशोधन की प्रक्रिया किस देश से ली गई है?,अमेरिका,ब्रिटेन,दक्षिण अफ्रीका,रूस,C,Polity
वित्तीय आपातकाल (Financial Emergency) किस अनुच्छेद में है?,अनुच्छेद 352,अनुच्छेद 356,अनुच्छेद 360,अनुच्छेद 370,C,Polity
पंचायती राज व्यवस्था सबसे पहले किस राज्य में लागू हुई?,उत्तर प्रदेश,राजस्थान,बिहार,मध्य प्रदेश,B,Polity
भारत के प्रथम राष्ट्रपति कौन थे?,डॉ. राजेंद्र प्रसाद,डॉ. एस. राधाकृष्णन,जाकिर हुसैन,वी.वी. गिरि,A,Polity
समान नागरिक संहिता (Uniform Civil Code) किस अनुच्छेद में है?,अनुच्छेद 40,अनुच्छेद 44,अनुच्छेद 50,अनुच्छेद 51,B,Polity
राज्यसभा के सदस्यों का कार्यकाल कितने वर्ष का होता है?,4 वर्ष,5 वर्ष,6 वर्ष,आजीवन,C,Polity
भारत के नियंत्रक एवं महालेखा परीक्षक (CAG) की नियुक्ति कौन करता है?,प्रधानमंत्री,राष्ट्रपति,सुप्रीम कोर्ट,संसद,B,Polity
शिक्षा का अधिकार किस अनुच्छेद के तहत मौलिक अधिकार है?,अनुच्छेद 19,अनुच्छेद 21,अनुच्छेद 21A,अनुच्छेद 22,C,Polity
पानीपत का प्रथम युद्ध कब हुआ था?,1526,1556,1761,1857,A,History
सिंधु घाटी सभ्यता की खोज किसने की थी?,राखालदास बनर्जी,दयाराम साहनी,जॉन मार्शल,कनिंघम,B,History
हड़प्पा सभ्यता किस युग की सभ्यता थी?,लौह युग,ताम्र युग,कांस्य युग,पाषाण युग,C,History
महात्मा बुद्ध का जन्म कहाँ हुआ था?,सारनाथ,बोधगया,लुम्बिनी,कुशीनगर,C,History
जैन धर्म के 24वें तीर्थंकर कौन थे?,ऋषभदेव,पार्श्वनाथ,महावीर स्वामी,गौतम बुद्ध,C,History
मौर्य वंश का संस्थापक कौन था?,अशोक,बिंदुसार,चंद्रगुप्त मौर्य,चाणक्य,C,History
कलिंग युद्ध किस वर्ष हुआ था?,261 ईसा पूर्व,269 ईसा पूर्व,326 ईसा पूर्व,298 ईसा पूर्व,A,History
गुप्त वंश का संस्थापक कौन था?,चंद्रगुप्त प्रथम,समुद्रगुप्त,श्रीगुप्त,कुमारगुप्त,C,History
भारत का नेपोलियन किसे कहा जाता है?,चंद्रगुप्त मौर्य,समुद्रगुप्त,अशोक,अकबर,B,History
वास्कोडिगामा भारत कब आया था?,1492,1498,1500,1526,B,History
मुगल वंश की स्थापना किसने की थी?,अकबर,हुमायूँ,बाबर,शाहजहां,C,History
हल्दीघाटी का युद्ध कब हुआ था?,1526,1556,1576,1761,C,History
'करो या मरो' का नारा किसने दिया था?,सुभाष चंद्र बोस,भगत सिंह,महात्मा गांधी,जवाहरलाल नेहरू,C,History
जलियांवाला बाग हत्याकांड कब हुआ था?,1915,1917,1919,1922,C,History
आजाद हिंद फौज की स्थापना किसने की थी?,सुभाष चंद्र बोस,भगत सिंह,चंद्रशेखर आजाद,रासबिहारी बोस,A,History
भारत का क्षेत्रफल विश्व के क्षेत्रफल का कितना प्रतिशत है?,2.4%,3.5%,4.2%,5.1%,A,Geography
भारत का सबसे बड़ा राज्य (क्षेत्रफल की दृष्टि से) कौन सा है?,उत्तर प्रदेश,महाराष्ट्र,राजस्थान,मध्य प्रदेश,C,Geography
