q,A,B,C,D,ans,sub
प्रवासी भारतीय दिवस कब मनाया जाता है?,9 जनवरी,10 जनवरी,12 जनवरी,15 जनवरी,A,Important Days
राष्ट्रीय युवा दिवस (National Youth Day) कब मनाया जाता है?,12 जनवरी,15 जनवरी,30 जनवरी,24 जनवरी,A,Important Days
भारतीय थल सेना दिवस (Army Day) कब मनाया जाता है?,15 जनवरी,26 जनवरी,8 अक्टूबर,4 दिसंबर,A,Important Days
राष्ट्रीय मतदाता दिवस (National Voters' Day) कब मनाया जाता है?,24 जनवरी,25 जनवरी,26 जनवरी,30 जनवरी,B,Important Days
गणतंत्र दिवस (Republic Day) कब मनाया जाता है?,15 अगस्त,26 जनवरी,2 अक्टूबर,26 नवंबर,B,Important Days
शहीद दिवस (महात्मा गांधी की पुण्यतिथि) कब मनाया जाता है?,30 जनवरी,23 मार्च,14 फरवरी,31 अक्टूबर,A,Important Days
विश्व कैंसर दिवस कब मनाया जाता है?,4 फरवरी,28 फरवरी,8 मार्च,22 मार्च,A,Important Days
राष्ट्रीय विज्ञान दिवस (National Science Day) कब मनाया जाता है?,28 फरवरी,22 अप्रैल,5 जून,11 जुलाई,A,Important Days
अंतर्राष्ट्रीय महिला दिवस कब मनाया जाता है?,8 मार्च,10 मार्च,8 अप्रैल,1 मई,A,Important Days
विश्व जल दिवस (World Water Day) कब मनाया जाता है?,22 मार्च,22 अप्रैल,22 मई,5 जून,A,Important Days
विश्व स्वास्थ्य दिवस (World Health Day) कब मनाया जाता है?,7 अप्रैल,1 मई,5 जून,21 जून,A,Important Days
पृथ्वी दिवस (Earth Day) कब मनाया जाता है?,22 मार्च,22 अप्रैल,22 मई,16 सितंबर,B,Important Days
अंतर्राष्ट्रीय श्रमिक दिवस (Labour Day) कब मनाया जाता है?,1 मई,5 मई,8 मई,31 मई,A,Important Days
विश्व रेडक्रॉस दिवस कब मनाया जाता है?,8 मई,11 मई,31 मई,5 जून,A,Important Days
विश्व तंबाकू निषेध दिवस (No Tobacco Day) कब मनाया जाता है?,31 मई,1 मई,5 जून,11 जुलाई,A,Important Days
विश्व पर्यावरण दिवस (World Environment Day) कब मनाया जाता है?,5 जून,11 जुलाई,29 अगस्त,16 सितंबर,A,Important Days
अंतर्राष्ट्रीय योग दिवस कब मनाया जाता है?,21 जून,5 जून,1 जुलाई,15 अगस्त,A,Important Days
विश्व जनसंख्या दिवस (World Population Day) कब मनाया जाता है?,11 जुलाई,12 अगस्त,29 अगस्त,5 सितंबर,A,Important Days
अंतर्राष्ट्रीय युवा दिवस कब मनाया जाता है?,12 जनवरी,12 अगस्त,15 अगस्त,5 सितंबर,B,Important Days
स्वतंत्रता दिवस (Independence Day) कब मनाया जाता है?,26 जनवरी,15 अगस्त,2 अक्टूबर,26 नवंबर,B,Important Days
राष्ट्रीय खेल दिवस (मेजर ध्यानचंद जयंती) कब मनाया जाता है?,29 अगस्त,5 सितंबर,14 सितंबर,2 अक्टूबर,A,Important Days
शिक्षक दिवस (Teachers' Day) कब मनाया जाता है?,5 सितंबर,14 सितंबर,5 अक्टूबर,14 नवंबर,A,Important Days
राष्ट्रीय हिंदी दिवस कब मनाया जाता है?,10 जनवरी,14 सितंबर,2 अक्टूबर,14 नवंबर,B,Important Days
विश्व पर्यटन दिवस कब मनाया जाता है?,27 सितंबर,5 अक्टूबर,24 अक्टूबर,10 दिसंबर,A,Important Days
अंतर्राष्ट्रीय अहिंसा दिवस (गांधी जयंती) कब मनाया जाता है?,2 अक्टूबर,30 जनवरी,14 नवंबर,10 दिसंबर,A,Important Days
भारतीय वायु सेना दिवस (Air Force Day) कब मनाया जाता है?,8 अक्टूबर,15 जनवरी,4 दिसंबर,26 जुलाई,A,Important Days
विश्व खाद्य दिवस (World Food Day) कब मनाया जाता है?,16 अक्टूबर,24 अक्टूबर,14 नवंबर,1 दिसंबर,A,Important Days
संयुक्त राष्ट्र (UN) दिवस कब मनाया जाता है?,24 अक्टूबर,10 दिसंबर,26 नवंबर,1 दिसंबर,A,Important Days
बाल दिवस (Children's Day) कब मनाया जाता है?,14 नवंबर,5 सितंबर,2 अक्टूबर,1 दिसंबर,A,Important Days
विश्व मधुमेह दिवस (World Diabetes Day) कब मनाया जाता है?,14 नवंबर,1 दिसंबर,10 दिसंबर,25 दिसंबर,A,Important Days
राष्ट्रीय संविधान दिवस (National Law Day) कब मनाया जाता है?,26 नवंबर,26 जनवरी,15 अगस्त,2 अक्टूबर,A,Important Days
विश्व एड्स दिवस (World AIDS Day) कब मनाया जाता है?,1 दिसंबर,4 दिसंबर,10 दिसंबर,25 दिसंबर,A,Important Days
भारतीय नौसेना दिवस (Navy Day) कब मनाया जाता है?,4 दिसंबर,15 जनवरी,8 अक्टूबर,26 जुलाई,A,Important Days
अंतर्राष्ट्रीय मानवाधिकार दिवस (Human Rights Day) कब मनाया जाता है?,10 दिसंबर,1 दिसंबर,25 दिसंबर,26 नवंबर,A,Important Days
किसान दिवस (चौधरी चरण सिंह जयंती) कब मनाया जाता है?,23 दिसंबर,25 दिसंबर,14 नवंबर,2 अक्टूबर,A,Important Days
सुशासन दिवस (अटल बिहारी वाजपेयी जयंती) कब मनाया जाता है?,25 दिसंबर,23 दिसंबर,31 अक्टूबर,14 नवंबर,A,Important Days
कारगिल विजय दिवस कब मनाया जाता है?,26 जुलाई,15 अगस्त,26 जनवरी,16 दिसंबर,A,Important Days
विश्व हिंदी दिवस कब मनाया जाता है?,10 जनवरी,14 सितंबर,5 सितंबर,2 अक्टूबर,A,Important Days
राष्ट्रीय बालिका दिवस कब मनाया जाता है?,24 जनवरी,8 मार्च,12 जनवरी,14 नवंबर,A,Important Days
पराक्रम दिवस (सुभाष चंद्र बोस जयंती) कब मनाया जाता है?,23 जनवरी,30 जनवरी,15 अगस्त,2 अक्टूबर,A,Important Days
कंप्यूटर का आविष्कार किसने किया?,चार्ल्स बैबेज,बिल गेट्स,स्टीव जॉब्स,मार्क जुकरबर्ग,A,Computer GK
CPU का पूर्ण रूप क्या है?,सेंट्रल प्रोसेसिंग यूनिट,कंट्रोल प्रोसेसिंग यूनिट,कंप्यूटर प्रोसेसिंग यूनिट,सेंट्रल प्रोग्राम यूनिट,A,Computer GK
URL का पूर्ण रूप क्या है?,यूनिफॉर्म रिसोर्स लोकेटर,यूनिवर्सल रिसोर्स लोकेटर,यूनाइटेड रिसोर्स लोकेटर,यूनिफॉर्म रीजन लोकेटर,A,Computer GK
HTTP का पूर्ण रूप क्या है?,हाइपर टेक्स्ट ट्रांसफर प्रोटोकॉल,हाइपर टेस्ट ट्रांसफर प्रोटोकॉल,हाइपर टेक्स्ट ट्रांसमिट प्रोटोकॉल,हाइपर टेक्स्ट ट्रांसफर प्रोग्राम,A,Computer GK
IP का पूर्ण रूप क्या है?,इंटरनेट प्रोटोकॉल,इंट्रानेट प्रोटोकॉल,इंटरनेशनल प्रोटोकॉल,इन्फॉर्मेशन प्रोटोकॉल,A,Computer GK
Wi-Fi का पूर्ण रूप क्या है?,वायरलेस फिडेलिटी,वायरलेस फाइबर,वायर्ड फिडेलिटी,वायरलेस फाइल,A,Computer GK
USB का पूर्ण रूप क्या है?,यूनिवर्सल सीरियल बस,यूनिवर्सल सिस्टम बस,यूनाइटेड सीरियल बस,यूनिवर्सल सर्विस बस,A,Computer GK
PDF का पूर्ण रूप क्या है?,पोर्टेबल डॉक्यूमेंट फॉर्मेट,पोर्टेबल डेटा फॉर्मेट,प्रिंटेड डॉक्यूमेंट फॉर्मेट,पब्लिक डॉक्यूमेंट फॉर्मेट,A,Computer GK
HTML का पूर्ण रूप क्या है?,हाइपर टेक्स्ट मार्कअप लैंग्वेज,हाइपर टेक्स्ट मशीन लैंग्वेज,हाइपर लिंक मार्कअप लैंग्वेज,हाइपर टूल मार्कअप लैंग्वेज,A,Computer GK
1 मेगाबाइट (MB) में कितने किलोबाइट (KB) होते हैं?,1024 KB,1000 KB,1024 Bytes,1000 Bytes,A,Computer GK
1 गीगाबाइट (GB) में कितने मेगाबाइट (MB) होते हैं?,1024 MB,1000 MB,1024 KB,1000 KB,A,Computer GK
कंप्यूटर कीबोर्ड में कुल कितने फंक्शन (Function) कीज़ होते हैं?,10,12,14,16,B,Computer GK
Copy (कॉपी) करने की शॉर्टकट कुंजी क्या है?,Ctrl + C,Ctrl + V,Ctrl + X,Ctrl + P,A,Computer GK
Paste (पेस्ट) करने की शॉर्टकट कुंजी क्या है?,Ctrl + P,Ctrl + V,Ctrl + C,Ctrl + X,B,Computer GK
Cut (कट) करने की शॉर्टकट कुंजी क्या है?,Ctrl + X,Ctrl + C,Ctrl + V,Ctrl + Z,A,Computer GK
Undo (अन्डू) करने की शॉर्टकट कुंजी क्या है?,Ctrl + U,Ctrl + Z,Ctrl + Y,Ctrl + A,B,Computer GK
Select All (सब कुछ सेलेक्ट) करने की शॉर्टकट कुंजी क्या है?,Ctrl + A,Ctrl + S,Ctrl + C,Ctrl + V,A,Computer GK
Save (सेव) करने की शॉर्टकट कुंजी क्या है?,Ctrl + S,Ctrl + V,Ctrl + C,Ctrl + P,A,Computer GK
कंप्यूटर को रीफ्रेश (Refresh) करने के लिए किस कुंजी का प्रयोग होता है?,F2,F5,F7,F12,B,Computer GK
माउस का आविष्कार किसने किया?,डगलस एंगेलबार्ट,चार्ल्स बैबेज,टिम बर्नर्स ली,बिल गेट्स,A,Computer GK
मॉनिटर को अन्य किस नाम से जाना जाता है?,VDU (Video Display Unit),CPU,ALU,CU,A,Computer GK
कीबोर्ड किस प्रकार का डिवाइस है?,आउटपुट डिवाइस,इनपुट डिवाइस,स्टोरेज डिवाइस,प्रोसेसिंग डिवाइस,B,Computer GK
प्रिंटर किस प्रकार का डिवाइस है?,इनपुट डिवाइस,आउटपुट डिवाइस,स्टोरेज डिवाइस,प्रोसेसिंग डिवाइस,B,Computer GK
माइक्रोसॉफ्ट (Microsoft) के संस्थापक कौन हैं?,बिल गेट्स और पॉल एलन,स्टीव जॉब्स,मार्क जुकरबर्ग,लैरी पेज,A,Computer GK
गूगल (Google) के संस्थापक कौन हैं?,लैरी पेज और सर्गेई ब्रिन,बिल गेट्स,मार्क जुकरबर्ग,जेफ बेजोस,A,Computer GK
फेसबुक (Facebook) के संस्थापक कौन हैं?,मार्क जुकरबर्ग,बिल गेट्स,स्टीव जॉब्स,टिम बर्नर्स ली,A,Computer GK
एप्पल (Apple) कंपनी के संस्थापक कौन हैं?,स्टीव जॉब्स,बिल गेट्स,मार्क जुकरबर्ग,लैरी पेज,A,Computer GK
कंप्यूटर वायरस (Virus) क्या है?,एक प्रकार का हार्डवेयर,एक प्रकार का सॉफ्टवेयर प्रोग्राम,एक जीवाणु,एक इनपुट डिवाइस,B,Computer GK
LAN का पूर्ण रूप क्या है?,लोकल एरिया नेटवर्क,लार्ज एरिया नेटवर्क,लोकल एक्सेस नेटवर्क,लॉजिकल एरिया नेटवर्क,A,Computer GK
WAN का पूर्ण रूप क्या है?,वाइड एरिया नेटवर्क,वर्ल्ड एरिया नेटवर्क,वायरलेस एरिया नेटवर्क,वेब एरिया नेटवर्क,A,Computer GK
नोबेल पुरस्कार कितने क्षेत्रों में दिया जाता है?,5,6,7,8,B,Awards
नोबेल पुरस्कार किस वर्ष शुरू हुए थे?,1901,1911,1921,1931,A,Awards
अर्थशास्त्र के क्षेत्र में नोबेल पुरस्कार कब शुरू किया गया?,1901,1969,1954,1980,B,Awards
शांति का नोबेल पुरस्कार कहाँ दिया जाता है?,स्टॉकहोम (स्वीडन),ओस्लो (नॉर्वे),पेरिस (फ्रांस),लंदन (यूके),B,Awards
रेमन मैग्सेसे पुरस्कार (Ramon Magsaysay Award) को और क्या कहा जाता है?,एशिया का नोबेल,यूरोप का नोबेल,विश्व का ऑस्कर,एशिया का ऑस्कर,A,Awards
रेमन मैग्सेसे पुरस्कार जीतने वाले प्रथम भारतीय कौन थे?,विनोबा भावे,रवींद्रनाथ टैगोर,सी.वी. रमन,मदर टेरेसा,A,Awards
भारत का सर्वोच्च नागरिक सम्मान कौन सा है?,भारत रत्न,पद्म विभूषण,पद्म भूषण,पद्म श्री,A,Awards
भारत रत्न की शुरुआत किस वर्ष हुई थी?,1950,1954,1960,1971,B,Awards
मरणोपरांत (Posthumously) भारत रत्न पाने वाले प्रथम व्यक्ति कौन थे?,लाल बहादुर शास्त्री,राजीव गांधी,बी.आर. अंबेडकर,सुभाष चंद्र बोस,A,Awards
खेल के क्षेत्र में भारत का सर्वोच्च पुरस्कार कौन सा है?,अर्जुन पुरस्कार,मेजर ध्यानचंद खेल रत्न पुरस्कार,द्रोणाचार्य पुरस्कार,सी.के. नायडू पुरस्कार,B,Awards
साहित्य के क्षेत्र में भारत का सर्वोच्च पुरस्कार कौन सा है?,सरस्वती सम्मान,व्यास सम्मान,ज्ञानपीठ पुरस्कार,साहित्य अकादमी पुरस्कार,C,Awards
दादा साहेब फाल्के पुरस्कार किस क्षेत्र में दिया जाता है?,साहित्य,खेल,सिनेमा (फिल्म),संगीत,C,Awards
ऑस्कर पुरस्कार (Oscar Award) किस क्षेत्र में दिया जाता है?,सिनेमा (फिल्म),खेल,साहित्य,विज्ञान,A,Awards
ग्रैमी पुरस्कार (Grammy Award) किस क्षेत्र में दिया जाता है?,सिनेमा,संगीत (Music),साहित्य,खेल,B,Awards
पुलित्जर पुरस्कार (Pulitzer Prize) किस क्षेत्र में दिया जाता है?,पत्रकारिता (Journalism),विज्ञान,खेल,संगीत,A,Awards
मैन बुकर पुरस्कार (Man Booker Prize) किस क्षेत्र में दिया जाता है?,साहित्य,खेल,सिनेमा,संगीत,A,Awards
कलिंग पुरस्कार (Kalinga Prize) किस क्षेत्र में दिया जाता है?,साहित्य,विज्ञान (Science),खेल,शांति,B,Awards
भटनागर पुरस्कार किस क्षेत्र में दिया जाता है?,साहित्य,विज्ञान एवं प्रौद्योगिकी,खेल,सिनेमा,B,Awards
धनवंतरी पुरस्कार किस क्षेत्र में दिया जाता है?,चिकित्सा (Medicine),खेल,साहित्य,शांति,A,Awards
बोरलॉग पुरस्कार (Borlaug Award) किस क्षेत्र में दिया जाता है?,कृषि (Agriculture),विज्ञान,खेल,सिनेमा,A,Awards
व्यास सम्मान किस क्षेत्र में दिया जाता है?,साहित्य,खेल,सिनेमा,संगीत,A,Awards
तानसेन सम्मान किस राज्य सरकार द्वारा दिया जाता है?,मध्य प्रदेश,उत्तर प्रदेश,राजस्थान,महाराष्ट्र,A,Awards
सरस्वती सम्मान के प्रथम प्राप्तकर्ता कौन थे?,हरिवंश राय बच्चन,सुमित्रानंदन पंत,महादेवी वर्मा,रामधारी सिंह दिनकर,A,Awards
अशोक चक्र किस लिए दिया जाता है?,युद्ध क्षेत्र में वीरता,शांति काल में वीरता,खेल में उत्कृष्टता,साहित्य में योगदान,B,Awards
परमवीर चक्र प्राप्त करने वाले प्रथम व्यक्ति कौन थे?,मेजर सोमनाथ शर्मा,सूबेदार बाना सिंह,कैप्टन विक्रम बत्रा,मनोज कुमार पांडे,A,Awards
नोबेल पुरस्कार जीतने वाली प्रथम भारतीय महिला कौन थीं?,मदर टेरेसा,सरोजिनी नायडू,इंदिरा गांधी,कल्पना चावला,A,Awards
भारत रत्न प्राप्त करने वाले प्रथम विदेशी नागरिक कौन थे?,नेल्सन मंडेला,खान अब्दुल गफ्फार खान,मदर टेरेसा,बिल गेट्स,B,Awards
संयुक्त राष्ट्र संघ (UNO) की स्थापना कब हुई थी?,24 अक्टूबर 1945,15 अगस्त 1947,26 जनवरी 1950,1 जनवरी 1995,A,Organizations
UNO का मुख्यालय कहाँ स्थित है?,जिनेवा,न्यूयॉर्क,पेरिस,लंदन,B,Organizations
विश्व स्वास्थ्य संगठन (WHO) का मुख्यालय कहाँ स्थित है?,न्यूयॉर्क,पेरिस,जिनेवा (स्विट्जरलैंड),रोम,C,Organizations
यूनेस्को (UNESCO) का मुख्यालय कहाँ स्थित है?,जिनेवा,रोम,न्यूयॉर्क,पेरिस (फ्रांस),D,Organizations
अंतर्राष्ट्रीय मुद्रा कोष (IMF) का मुख्यालय कहाँ स्थित है?,जिनेवा,वाशिंगटन डी.सी.,न्यूयॉर्क,लंदन,B,Organizations
विश्व बैंक (World Bank) का मुख्यालय कहाँ स्थित है?,वाशिंगटन डी.सी.,न्यूयॉर्क,जिनेवा,पेरिस,A,Organizations
विश्व व्यापार संगठन (WTO) का मुख्यालय कहाँ है?,पेरिस,न्यूयॉर्क,वाशिंगटन डी.सी.,जिनेवा,D,Organizations
अंतर्राष्ट्रीय श्रम संगठन (ILO) का मुख्यालय कहाँ है?,जिनेवा,पेरिस,रोम,न्यूयॉर्क,A,Organizations
अंतर्राष्ट्रीय न्यायालय (ICJ) का मुख्यालय कहाँ स्थित है?,न्यूयॉर्क,हेग (नीदरलैंड),जिनेवा,पेरिस,B,Organizations
खाद्य एवं कृषि संगठन (FAO) का मुख्यालय कहाँ है?,रोम (इटली),पेरिस,जिनेवा,लंदन,A,Organizations
अंतर्राष्ट्रीय ओलिंपिक समिति (IOC) का मुख्यालय कहाँ है?,लुसाने (स्विट्जरलैंड),पेरिस,लंदन,न्यूयॉर्क,A,Organizations
सार्क (SAARC) का मुख्यालय कहाँ स्थित है?,नई दिल्ली,ढाका,काठमांडू (नेपाल),कोलंबो,C,Organizations
आसियान (ASEAN) का मुख्यालय कहाँ स्थित है?,जकार्ता (इंडोनेशिया),सिंगापुर,बैंकॉक,मनीला,A,Organizations
एशियाई विकास बैंक (ADB) का मुख्यालय कहाँ स्थित है?,टोक्यो,बीजिंग,नई दिल्ली,मनीला (फिलीपींस),D,Organizations
इंटरपोल (INTERPOL) का मुख्यालय कहाँ स्थित है?,ल्योन (फ्रांस),लंदन,न्यूयॉर्क,जिनेवा,A,Organizations
नाटो (NATO) का मुख्यालय कहाँ स्थित है?,ब्रुसेल्स (बेल्जियम),न्यूयॉर्क,पेरिस,लंदन,A,Organizations
ओपेक (OPEC) का मुख्यालय कहाँ स्थित है?,रियाद,दुबई,वियना (ऑस्ट्रिया),बगदाद,C,Organizations
रेड क्रॉस (Red Cross) का मुख्यालय कहाँ स्थित है?,जिनेवा,पेरिस,न्यूयॉर्क,लंदन,A,Organizations
अंतर्राष्ट्रीय क्रिकेट परिषद (ICC) का मुख्यालय कहाँ है?,लंदन,मेलबर्न,दुबई,मुंबई,C,Organizations
फीफा (FIFA) का मुख्यालय कहाँ स्थित है?,ज्यूरिख (स्विट्जरलैंड),पेरिस,लंदन,न्यूयॉर्क,A,Organizations
जापान की संसद का क्या नाम है?,डाइट (Diet),ड्यूमा,नेसेट,शोरा,A,Misc GK
रूस की संसद का क्या नाम है?,ड्यूमा (Duma),डाइट,मजलिस,कांग्रेस,A,Misc GK
इज़राइल की संसद का क्या नाम है?,नेसेट (Knesset),डाइट,शोरा,मजलिस,A,Misc GK
अफगानिस्तान की संसद का क्या नाम है?,शोरा,मजलिस,डाइट,ड्यूमा,A,Misc GK
ईरान की संसद का क्या नाम है?,मजलिस,डाइट,शोरा,नेसेट,A,Misc GK
मालदीव की संसद का क्या नाम है?,मजलिस,शोरा,नेसेट,ड्यूमा,A,Misc GK
अमेरिका की संसद को क्या कहते हैं?,पार्लियामेंट,कांग्रेस (Congress),नेशनल असेंबली,डाइट,B,Misc GK
नेपाल की संसद का क्या नाम है?,राष्ट्रीय पंचायत,जातीय संसद,मजलिस,डाइट,A,Misc GK
बांग्लादेश की संसद का क्या नाम है?,जातीय संसद,राष्ट्रीय पंचायत,मजलिस,शोरा,A,Misc GK
चीन की राजधानी क्या है?,शंघाई,बीजिंग,हांगकांग,मकाऊ,B,Misc GK
रूस की राजधानी क्या है?,मास्को,सेंट पीटर्सबर्ग,कीव,मिन्स्क,A,Misc GK
ऑस्ट्रेलिया की राजधानी क्या है?,सिडनी,मेलबर्न,कैनबरा,पर्थ,C,Misc GK
कनाडा की राजधानी क्या है?,टोरंटो,ओटावा,वैंकूवर,मॉन्ट्रियल,B,Misc GK
ब्राज़ील की राजधानी क्या है?,रियो डी जेनेरियो,साओ पाउलो,ब्रासीलिया,ब्यूनस आयर्स,C,Misc GK
दक्षिण अफ्रीका की राजधानी क्या है?,केपटाउन/प्रिटोरिया,जोहान्सबर्ग,डरबन,नैरोबी,A,Misc GK
जापान की मुद्रा (Currency) क्या है?,युआन,येन (Yen),वॉन,डॉलर,B,Misc GK
चीन की मुद्रा क्या है?,युआन (रेन्मिन्बी),येन,वॉन,रूबल,A,Misc GK
रूस की मुद्रा क्या है?,रूबल,डॉलर,यूरो,येन,A,Misc GK
ब्रिटेन (UK) की मुद्रा क्या है?,यूरो,डॉलर,पाउंड स्टर्लिंग,रुपया,C,Misc GK
सऊदी अरब की मुद्रा क्या है?,दीनार,रियाल,दिरहम,डॉलर,B,Misc GK
बांग्लादेश की मुद्रा क्या है?,रुपया,टका,डॉलर,दीनार,B,Misc GK
विटामिन की खोज किसने की?,फंक,मैकुलन,होलकट,हॉपकिंस,A,Misc GK
एक्स-रे (X-Ray) की खोज किसने की?,रॉन्टजन,मैडम क्यूरी,रदरफोर्ड,न्यूटन,A,Misc GK
पेनिसिलिन की खोज किसने की?,अलेक्जेंडर फ्लेमिंग,लुई पाश्चर,एडवर्ड जेनर,रॉबर्ट हुक,A,Misc GK
चेचक के टीके की खोज किसने की?,एडवर्ड जेनर,लुई पाश्चर,अलेक्जेंडर फ्लेमिंग,रॉबर्ट हुक,A,Misc GK
रेडियो की खोज किसने की?,मार्कोनी,ग्राहम बेल,एडिसन,जे.एल. बेयर्ड,A,Misc GK
टेलीफोन का आविष्कार किसने किया?,ग्राहम बेल,एडिसन,मार्कोनी,चार्ल्स बैबेज,A,Misc GK
टेलीविजन (TV) का आविष्कार किसने किया?,जे.एल. बेयर्ड,मार्कोनी,एडिसन,ग्राहम बेल,A,Misc GK
हवाई जहाज का आविष्कार किसने किया?,राइट ब्रदर्स,मार्कोनी,ग्राहम बेल,एडिसन,A,Misc GK
गुरुत्वाकर्षण (Gravity) की खोज किसने की?,न्यूटन,गैलीलियो,आइंस्टीन,कोपरनिकस,A,Misc GK
सौरमंडल की खोज किसने की?,कोपरनिकस,गैलीलियो,केप्लर,न्यूटन,A,Misc GK
रक्त समूह (Blood Group) की खोज किसने की?,कार्ल लैंडस्टीनर,विलियम हार्वे,लुई पाश्चर,रॉबर्ट कोच,A,Misc GK
रक्त परिसंचरण (Blood Circulation) की खोज किसने की?,विलियम हार्वे,कार्ल लैंडस्टीनर,लुई पाश्चर,रॉबर्ट कोच,A,Misc GK
