q,A,B,C,D,ans,sub
भारतीय संविधान सभा की प्रथम बैठक कब हुई थी?,9 दिसंबर 1946,15 अगस्त 1947,26 जनवरी 1950,9 दिसंबर 1947,A,Polity
संविधान सभा के अस्थायी अध्यक्ष कौन थे?,डॉ. राजेंद्र प्रसाद,डॉ. सच्चिदानंद सिन्हा,बी.आर. अंबेडकर,जवाहरलाल नेहरू,B,Polity
प्रारूप समिति (Drafting Committee) के अध्यक्ष कौन थे?,के.एम. मुंशी,डॉ. बी.आर. अंबेडकर,सरदार पटेल,जवाहरलाल नेहरू,B,Polity
भारतीय संविधान को कब अंगीकृत (Adopt) किया गया था?,26 जनवरी 1950,26 नवंबर 1949,15 अगस्त 1947,26 नवंबर 1950,B,Polity
मूल संविधान में कुल कितनी अनुसूचियां थीं?,8,10,12,15,A,Polity
वर्तमान में भारतीय संविधान में कितनी अनुसूचियां हैं?,8,10,12,14,C,Polity
संविधान के किस भाग को 'भारत का मैग्नाकार्टा' कहा जाता है?,भाग 1,भाग 2,भाग 3,भाग 4,C,Polity
भारतीय संविधान में मौलिक अधिकार किस देश से लिए गए हैं?,ब्रिटेन,अमेरिका,कनाडा,रूस,B,Polity
संपत्ति के अधिकार को किस संशोधन द्वारा मौलिक अधिकार से हटाया गया?,42वां,44वां,52वां,61वां,B,Polity
वर्तमान में कितने मौलिक अधिकार हैं?,5,6,7,8,B,Polity
अनुच्छेद 17 किससे संबंधित है?,उपाधियों का अंत,अस्पृश्यता का अंत,प्रेस की स्वतंत्रता,समानता,B,Polity
अनुच्छेद 32 को 'संविधान की आत्मा' किसने कहा था?,नेहरू,गांधी,अंबेडकर,पटेल,C,Polity
निति निदेशक तत्व (DPSP) किस देश से लिए गए हैं?,आयरलैंड,जर्मनी,जापान,कनाडा,A,Polity
ग्राम पंचायतों का संगठन किस अनुच्छेद में है?,अनुच्छेद 32,अनुच्छेद 40,अनुच्छेद 44,अनुच्छेद 48,B,Polity
समान नागरिक संहिता (UCC) का वर्णन किस अनुच्छेद में है?,अनुच्छेद 41,अनुच्छेद 42,अनुच्छेद 44,अनुच्छेद 45,C,Polity
मौलिक कर्तव्यों को किस समिति की सिफारिश पर जोड़ा गया?,वर्मा समिति,स्वर्ण सिंह समिति,शाह समिति,सरकारिया समिति,B,Polity
भारतीय संविधान में मौलिक कर्तव्य किस वर्ष जोड़े गए?,1975,1976,1978,1980,B,Polity
संसद के कितने अंग होते हैं?,2,3,4,5,B,Polity
भारत का प्रथम नागरिक कौन होता है?,प्रधानमंत्री,राष्ट्रपति,मुख्य न्यायाधीश,राज्यपाल,B,Polity
राष्ट्रपति पद के लिए न्यूनतम आयु क्या है?,25 वर्ष,30 वर्ष,35 वर्ष,18 वर्ष,C,Polity
राष्ट्रपति को शपथ कौन दिलाता है?,प्रधानमंत्री,उपराष्ट्रपति,भारत का मुख्य न्यायाधीश,लोकसभा अध्यक्ष,C,Polity
तीनों सेनाओं का सर्वोच्च सेनापति कौन होता है?,रक्षा मंत्री,सीडीएस,राष्ट्रपति,प्रधानमंत्री,C,Polity
राष्ट्रपति अपना त्यागपत्र किसे संबोधित करता है?,प्रधानमंत्री,लोकसभा अध्यक्ष,उपराष्ट्रपति,मुख्य न्यायाधीश,C,Polity
निर्विरोध चुने जाने वाले एकमात्र राष्ट्रपति कौन थे?,वी.वी. गिरि,नीलम संजीव रेड्डी,जाकिर हुसैन,एपीजे अब्दुल कलाम,B,Polity
राष्ट्रपति पर महाभियोग (Impeachment) किस अनुच्छेद के तहत लगता है?,अनुच्छेद 52,अनुच्छेद 61,अनुच्छेद 72,अनुच्छेद 123,B,Polity
राष्ट्रपति द्वारा राज्यसभा में कितने सदस्य मनोनीत किए जाते हैं?,2,10,12,15,C,Polity
लोकसभा में अधिकतम सदस्यों की संख्या कितनी हो सकती है?,545,550,552,500,C,Polity
संसद के दो सत्रों के बीच अधिकतम कितना अंतराल हो सकता है?,3 माह,6 माह,9 माह,1 वर्ष,B,Polity
धन विधेयक (Money Bill) सबसे पहले किस सदन में पेश किया जाता है?,राज्यसभा,लोकसभा,किसी भी सदन में,संयुक्त अधिवेशन में,B,Polity
लोकसभा का अध्यक्ष अपना त्यागपत्र किसे देता है?,राष्ट्रपति,प्रधानमंत्री,लोकसभा उपाध्यक्ष,संसदीय कार्य मंत्री,C,Polity
स्वतंत्र भारत के प्रथम लोकसभा अध्यक्ष कौन थे?,जी.वी. मावलंकर,हुकुम सिंह,नीलम संजीव रेड्डी,अनंतशयनम आयंगर,A,Polity
राज्यसभा का पदेन सभापति कौन होता है?,राष्ट्रपति,उपराष्ट्रपति,प्रधानमंत्री,विपक्ष का नेता,B,Polity
राज्यसभा के सदस्य का कार्यकाल कितना होता है?,4 वर्ष,5 वर्ष,6 वर्ष,स्थायी,C,Polity
प्राक्कलन समिति (Estimates Committee) में कितने सदस्य होते हैं?,15,22,30,45,C,Polity
लोक लेखा समिति (PAC) में कितने सदस्य होते हैं?,15,22,30,10,B,Polity
भारत का सर्वोच्च न्यायालय कहाँ स्थित है?,मुंबई,चेन्नई,कोलकाता,नई दिल्ली,D,Polity
उच्चतम न्यायालय के न्यायाधीशों की सेवा-निवृत्ति आयु क्या है?,60 वर्ष,62 वर्ष,65 वर्ष,70 वर्ष,C,Polity
भारत के प्रथम मुख्य न्यायाधीश कौन थे?,पतंजलि शास्त्री,एच.जे. कानिया,एस.आर. दास,एम. हिदायतुल्ला,B,Polity
संविधान का व्याख्याकार और संरक्षक कौन है?,संसद,राष्ट्रपति,सर्वोच्च न्यायालय,भारत का महाधिवक्ता,C,Polity
उच्च न्यायालय के न्यायाधीशों की सेवा-निवृत्ति आयु क्या है?,60 वर्ष,62 वर्ष,65 वर्ष,70 वर्ष,B,Polity
किस अनुच्छेद के तहत सर्वोच्च न्यायालय 'रिट' जारी करता है?,अनुच्छेद 32,अनुच्छेद 226,अनुच्छेद 143,अनुच्छेद 131,A,Polity
राज्यपाल की नियुक्ति कौन करता है?,प्रधानमंत्री,मुख्यमंत्री,राष्ट्रपति,मुख्य न्यायाधीश,C,Polity
राज्यपाल पद के लिए न्यूनतम आयु क्या है?,25 वर्ष,30 वर्ष,35 वर्ष,21 वर्ष,C,Polity
राज्य की कार्यपालिका का प्रमुख कौन होता है?,मुख्यमंत्री,राज्यपाल,विधानसभा अध्यक्ष,मुख्य सचिव,B,Polity
मुख्यमंत्री की नियुक्ति कौन करता है?,राष्ट्रपति,राज्यपाल,प्रधानमंत्री,विधानसभा अध्यक्ष,B,Polity
उत्तर प्रदेश की प्रथम महिला मुख्यमंत्री कौन थी?,सरोजिनी नायडू,सुचेता कृपलानी,मायावती,विजया लक्ष्मी पंडित,B,Polity
भारत में पंचायती राज का वास्तुकार किसे कहा जाता है?,बी.आर. अंबेडकर,बलवंत राय मेहता,अशोक मेहता,महात्मा गांधी,B,Polity
73वां संविधान संशोधन किससे संबंधित है?,नगरपालिका,पंचायती राज,दलबदल,भाषा,B,Polity
नगरपालिकाओं का वर्णन किस अनुसूची में है?,9वीं,10वीं,11वीं,12वीं,D,Polity
भारत का निर्वाचन आयोग किस अनुच्छेद में है?,अनुच्छेद 320,अनुच्छेद 324,अनुच्छेद 280,अनुच्छेद 312,B,Polity
मतदान की आयु 21 वर्ष से घटाकर 18 वर्ष किस संशोधन द्वारा की गई?,42वां,44वां,61वां,73वां,C,Polity
यूपीएससी (UPSC) के अध्यक्ष की नियुक्ति कौन करता है?,प्रधानमंत्री,संसद,राष्ट्रपति,मुख्य न्यायाधीश,C,Polity
वित्त आयोग (Finance Commission) किस अनुच्छेद में है?,अनुच्छेद 260,अनुच्छेद 280,अनुच्छेद 300,अनुच्छेद 315,B,Polity
भारत का महान्यायवादी (Attorney General) किस अनुच्छेद में है?,अनुच्छेद 72,अनुच्छेद 76,अनुच्छेद 88,अनुच्छेद 148,B,Polity
